"CAMBRIDGE, MA US (USC00191097)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1886-10-02,,54,34,0.00,,
1886-10-03,,57,33,0.00,,
1886-10-04,,66,40,0.00,,
1886-10-05,,60,46,0.00,,
1886-10-06,,62,37,0.00,,
1886-10-07,,58,43,0.00,,
1886-10-08,,66,37,0.00,,
1886-10-09,,74,49,0.01,,
1886-10-10,,64,53,0.00,,
1886-10-11,,73,47,0.00,,
1886-10-12,,76,52,0.00,,
1886-10-13,,54,50,0.01,,
1886-10-14,,69,41,0.00,,
1886-10-15,,70,,0.04,,
1886-10-16,,,37,0.00,,
1886-10-17,,50,24,0.00,,
1886-10-18,,52,37,0.07,,
1886-10-19,,53,35,0.00,,
1886-10-20,,62,34,0.00,,
1886-10-21,,64,50,0.00,,
1886-10-22,,60,35,0.00,,
1886-10-23,,54,46,0.00,,
1886-10-24,,53,31,0.00,,
1886-10-25,,59,31,0.00,,
1886-10-26,,52,47,0.00,,
1886-10-27,,48,43,0.49,,
1886-10-28,,51,40,0.68,,
1886-10-29,,51,44,0.00,,
1886-10-30,,52,46,0.33,,
1886-10-31,,52,43,1.09,,
1886-11-01,,57,47,0.04,,
1886-11-02,,59,42,,,
1886-11-03,,62,44,0.01,,
1886-11-04,,56,52,0.01,,
1886-11-05,,55,32,,,
1886-11-06,,57,42,,,
1886-11-07,,42,39,0.78,,
1886-11-08,,42,26,,,
1886-11-09,,48,29,,,
1886-11-10,,51,34,,,
1886-11-11,,53,37,0.14,,
1886-11-12,,47,35,,,
1886-11-13,,41,38,,,
1886-11-14,,40,28,1.17,,
1886-11-15,,43,31,,,
1886-11-16,,39,29,,,
1886-11-17,,61,26,,,
1886-11-18,,63,35,0.24,,
1886-11-19,,41,35,0.59,,
1886-11-20,,46,33,,,
1886-11-21,,47,35,,,
1886-11-22,,44,30,,,
1886-11-23,,60,32,,,
1886-11-24,,55,42,0.56,,
1886-11-25,,43,33,0.01,,
1886-11-26,,38,33,0.34,,
1886-11-27,,37,24,,,
1886-11-28,,48,21,,,
1886-11-29,,51,28,,,
1886-11-30,,48,33,,,
1886-12-01,,42,,0.15,0.0,
1886-12-02,,,,0.01,0.0,
1886-12-03,,,11,,0.0,
1886-12-04,,24,12,,0.0,
1886-12-05,,23,5,,0.0,
1886-12-06,,29,9,1.00,6.8,
1886-12-07,,26,16,,0.0,
1886-12-08,,36,17,0.53,3.0,
1886-12-09,,39,25,,0.0,
1886-12-10,,43,12,,0.0,
1886-12-11,,48,26,,0.0,
1886-12-12,,43,32,,0.0,
1886-12-13,,37,28,0.06,0.0,
1886-12-14,,38,31,0.11,0.0,
1886-12-15,,43,,,0.0,
1886-12-16,,,13,,0.0,
1886-12-17,,37,7,0.52,4.0,
1886-12-18,,42,14,,0.0,
1886-12-19,,41,34,1.08,0.0,
1886-12-20,,35,29,,0.0,
1886-12-21,,37,17,,0.0,
1886-12-22,,39,27,,0.0,
1886-12-23,,43,25,,0.0,
1886-12-24,,49,32,0.02,0.0,
1886-12-25,,35,33,1.28,0.0,
1886-12-26,,32,12,,0.0,
1886-12-27,,34,19,,0.0,
1886-12-28,,,12,0.04,0.0,
1886-12-29,,24,,,0.0,
1886-12-30,,16,4,,0.0,
1886-12-31,,33,7,0.23,0.0,
1887-01-01,,33,15,0.63,0.0,
1887-01-02,,21,,0.03,0.0,
1887-01-03,,,0,0.00,0.0,
1887-01-04,,24,-2,0.00,0.0,
1887-01-05,,35,8,0.00,0.0,
1887-01-06,,35,22,0.70,4.4,
1887-01-07,,27,,0.00,0.0,
1887-01-08,,,-2,0.00,0.0,
1887-01-09,,19,-2,0.00,0.0,
1887-01-10,,25,5,0.21,2.5,
1887-01-11,,26,2,0.00,0.0,
